Br_ID,BR_Total,BR_Count,BR_Avg_Tix,Name,Address,Phone,postal,full_address,gcode,lat,long,rank
28,4162500.0,159,26179.245283018867,Forest Hill Village ,437 SPADINA RD,416-544-0537,M5P 2W3,"437 SPADINA RD, Ontario, Canada","437, Spadina Road, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5P 2W3, Canada",43.689237985714286,-79.41272419285714,33
29,4464500.0,164,27222.560975609755,Front & Berkeley ,236 FRONT STREET EAST,416-366-1776,M5A 4T9,"236 FRONT STREET EAST, Ontario, Canada","236, Front Street East, Strathroy, Strathroy-Caradoc, Middlesex County, Southwestern Ontario, Ontario, N7G 1P6, Canada",42.9619189,-81.61479560000001,32
30,4002000.0,175,22868.571428571428,King & Church ,101 KING STREET EAST,416-360-0130,M5C 1G3,"101 KING STREET EAST, Ontario, Canada","101, King Street East, Colborne, Cramahe, Northumberland County, Central Ontario, Ontario, K0K 1S0, Canada",44.0070067,-77.8808356,34
31,2421500.0,104,23283.653846153848,King & University ,200 KING ST W,416-867-5268,M5H 3T4,"200 KING ST W, Ontario, Canada","Kitchener City Hall, 200, King Street West, Downtown, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2G 1B7, Canada",43.451622349999994,-80.49218824113066,49
32,4508500.0,172,26212.20930232558,Laird & Commercial ,147 LAIRD DRIVE,416-425-0021,M4G 4K1,"147 LAIRD DRIVE, Ontario, Canada","Sobeys, 147, Laird Drive, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3V4, Canada",43.7096892,-79.35955621581823,31
33,5964500.0,232,25709.05172413793,Lawrence Allen Centre ,700 LAWRENCE AVE WEST,416-787-4564,M6A 3B4,"700 LAWRENCE AVE WEST, Ontario, Canada","Lawrence Allen Centre, 700, Lawrence Avenue West, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 3B4, Canada",43.7167617,-79.44718952063198,15
34,4805000.0,191,25157.068062827224,Leaside ,1670 BAYVIEW AVE,416-488-7298,M4G 3C2,"1670 BAYVIEW AVE, Ontario, Canada","BMO, 1670, Bayview Avenue, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 3B7, Canada",43.7076261,-79.3761432,24
35,4877500.0,199,24510.05025125628,Leslie & York Mills ,1859 LESLIE STREET,416-443-1921,M3B 2M1,"1859 LESLIE STREET, Ontario, Canada","BMO, 1859, Leslie Street, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M3B 1X8, Canada",43.75452105,-79.35915909257255,23
36,1486500.0,61,24368.852459016394,McCowan Square ,1225 MCCOWAN RD,416-438-9900,M1H 3K3,"1225 MCCOWAN RD, Ontario, Canada","1225, McCowan Road, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1H 3K0, Canada",43.7729107690802,-79.25142420202336,51
37,3040000.0,116,26206.896551724138,Queen & Portland ,591 QUEEN ST WEST,416-703-3812,M5V 2B7,"591 QUEEN ST WEST, Ontario, Canada","BMO, 591, Queen Street West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B6, Canada",43.6474762,-79.4018157,46
38,5956500.0,236,25239.406779661018,Queen & Saulter ,774 QUEEN ST E,416-461-0801,M4M 1H4,"774 QUEEN ST E, Ontario, Canada","774, Queen Street East, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada",43.65956453846154,-79.34739823076923,16
39,5469000.0,214,25556.07476635514,Queen & Yonge ,2 QUEEN ST E,416-867-5596,M5C 3G7,"2 QUEEN ST E, Ontario, Canada","2, Queen Street East, Downtown Chesterville, Chesterville, North Dundas, Stormont, Dundas and Glengarry Counties, Eastern Ontario, Ontario, K0C 1H0, Canada",45.1033453,-75.2300046,20
40,5717000.0,222,25752.252252252252,Rogers Road ,605 ROGERS ROAD,416-658-9292,M6M 1B9,"605 ROGERS ROAD, Ontario, Canada","BMO, 605, Rogers Road, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.6818874,-79.4722402,18
41,4657000.0,182,25587.91208791209,Stackt Market Bathurst And Front ,28 BATHURST STREET,416-214-9545,M5V 0R4,"28 BATHURST STREET, Ontario, Canada","BMO, 28, Bathurst Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2V5, Canada",43.6408802,-79.4019344,30
42,3657000.0,150,24380.0,St.Clair & Runnymede ,2471 ST.CLAIR AVE W,416-762-8291,M6N 4Z5,"2471 ST.CLAIR AVE W, Ontario, Canada","EB Games, 2471, St. Clair Avenue West, Rockcliffe-Smythe, York South—Weston, York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.6686779,-79.4840473,40
43,7487000.0,287,26087.108013937283,Steeles & Markham ,6023 STEELES AVE EAST,416-321-3700,M1V 5P7,"6023 STEELES AVE EAST, Ontario, Canada","BMO, 6023, Steeles Avenue East, Scarborough North, Scarborough, Toronto, York Region, Golden Horseshoe, Ontario, L3S 3J9, Canada",43.836078,-79.25219063571427,5
44,3420000.0,132,25909.090909090908,The Beach ,2183 QUEEN ST E,416-699-9351,M4E 1E5,"2183 QUEEN ST E, Ontario, Canada","BMO, 2183, Queen Street East, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4E 1E5, Canada",43.6704938,-79.2973616,43
45,2939000.0,124,23701.612903225807,University & College ,700 UNIVERSITY AVE,416-867-5330,M5G 1X7,"700 UNIVERSITY AVE, Ontario, Canada","Intact Centre, 700, University Avenue, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 3M2, Canada",43.6591104,-79.39120659491317,47
46,6825000.0,260,26250.0,University & Dundas ,438 UNIVERSITY AVE,416-596-8814,M5G 2K8,"438 UNIVERSITY AVE, Ontario, Canada","BMO, 438, University Avenue, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1E6, Canada",43.6546209,-79.3886431,7
47,5713000.0,233,24519.31330472103,Yonge & Fairlawn ,3320 YONGE ST,416-488-8335,M4N 2M4,"3320 YONGE ST, Ontario, Canada","BMO, 3320, Yonge Street, Eglinton—Lawrence, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4N 2M4, Canada",43.73119,-79.4040412,19
48,3683000.0,143,25755.244755244756,Yonge & Gerrard ,382 YONGE STREET,416-408-1974,M5B 1S8,"382 YONGE STREET, Ontario, Canada","Duke's Refresher + Bar, 382, Yonge Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1S8, Canada",43.6590065,-79.3833435,39
49,3890500.0,165,23578.78787878788,Yonge & Roselawn ,2454 YONGE ST,416-488-1145,M4P 2H5,"2454 YONGE ST, Ontario, Canada","BMO, 2454, Yonge Street, Yonge & Eglinton, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1Y5, Canada",43.7110013,-79.3996631458458,37
50,3319000.0,136,24404.41176470588,Yonge & St Clair ,1560 YONGE STREET,416-920-9861,M4T 2S9,"1560 YONGE STREET, Ontario, Canada","BMO, 1560, Yonge Street, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 2S9, Canada",43.6892417,-79.3947573,44
51,3220000.0,137,23503.649635036498,York University/York Lanes ,4700 KEELE STREET,416-665-4775,M3J 1P3,"4700 KEELE STREET, Ontario, Canada","Thaï Express, 4700, Keele Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3J 3T8, Canada",43.774283,-79.5019475,45
