,Cust_ID,Staff_ID,Amt,Prod,date
142,69,47,45500,E,16-Jan-21
143,332,205,3500,A,16-Jan-21
144,53,186,30500,F,1-Nov-19
145,396,27,35500,H,22-Jul-20
146,223,133,13000,D,22-Sep-20
147,61,295,44000,J,7-Dec-20
148,15,47,11500,E,12-May-19
149,116,282,8000,A,3-Jun-20
150,280,266,32500,E,12-Sep-20
151,391,159,25000,C,3-Apr-21
152,101,192,19000,J,2-Aug-19
153,33,227,8500,A,8-Sep-19
154,96,65,19500,G,25-May-21
155,205,125,43000,C,22-Sep-21
156,98,246,49500,H,28-Oct-20
157,10,76,14000,E,30-Apr-21
158,343,4,39000,H,5-Aug-21
159,181,265,4500,B,19-Jun-20
160,49,102,44000,H,5-Jan-19
161,218,87,50000,E,3-May-19
162,44,287,7000,C,8-May-19
163,114,92,17500,G,26-Mar-20
164,161,82,20000,A,27-Dec-20
165,167,10,10500,J,15-Dec-19
166,351,265,6500,E,2-Mar-20
167,286,198,23500,D,24-Jan-21
168,218,114,39500,C,8-Feb-21
169,156,151,7000,F,8-Dec-20
170,237,142,34000,D,25-Oct-20
171,93,249,48500,D,19-Sep-19
172,231,276,47500,D,23-Dec-19
173,293,15,7500,I,9-Jun-20
174,181,126,14500,J,22-Jan-19
175,380,219,18500,A,12-Jan-19
176,372,7,8000,J,16-Aug-19
177,5,138,25500,I,13-Sep-19
178,285,55,28000,A,15-Jul-21
179,9,218,37000,F,29-Jan-21
180,367,230,6000,I,2-Aug-21
181,23,127,25000,A,6-Jun-20
182,301,26,19000,C,6-Aug-19
183,120,78,6500,E,2-Jul-20
184,31,170,16500,G,25-Feb-20
185,43,111,34000,D,14-Apr-19
186,327,126,3000,A,2-Oct-19
187,63,208,43000,A,7-May-20
188,240,228,9000,E,9-Nov-19
189,127,2,29000,H,14-Jun-19
190,390,79,29500,B,7-Mar-20
191,394,52,40000,I,7-Jan-19
192,105,71,24000,H,18-Jun-19
193,5,232,31000,I,20-Jun-21
194,23,238,23000,A,31-May-19
195,190,283,5500,G,15-Jan-19
196,77,47,24000,G,25-Oct-19
197,7,12,34500,E,7-Sep-21
198,214,174,32500,H,2-May-21
199,198,132,27500,B,15-Jul-20
200,313,130,18000,J,5-Apr-21
201,307,247,39000,H,11-Mar-21
202,88,17,4000,B,4-Dec-20
203,156,21,16500,H,3-Aug-19
204,60,159,16500,J,29-Aug-21
205,141,35,35000,J,5-Jul-19
206,272,121,49500,E,8-Aug-19
207,206,94,18500,E,8-Jan-21
208,169,119,34000,F,26-Jul-20
209,47,192,26000,A,3-Mar-19
210,114,184,48000,A,10-May-20
211,26,273,500,A,5-Oct-20
212,309,284,41500,I,10-Aug-19
213,258,205,10000,D,6-Feb-19
214,102,191,36000,F,15-Mar-19
215,333,42,21500,I,31-Jul-20
216,233,34,49000,F,24-Jan-20
217,186,164,43500,A,1-Nov-19
218,383,134,44000,J,16-Jun-21
219,34,235,35000,E,21-Feb-21
220,110,218,46500,F,16-Apr-20
221,266,202,20500,I,22-Jun-19
222,368,260,14500,H,17-May-21
223,153,195,14500,A,29-Jun-19
224,120,236,22500,A,30-Jan-20
225,152,13,14000,D,19-Apr-20
226,140,135,17500,J,9-Jan-19
227,205,143,14500,J,27-Jun-19
228,314,29,35000,E,17-Dec-19
229,374,226,10500,B,12-Oct-19
230,352,197,2500,F,19-Mar-21
231,247,30,16500,H,30-Mar-19
232,279,116,37500,F,13-Nov-20
233,380,126,2500,F,19-Apr-19
234,131,46,9500,B,17-Feb-20
235,33,136,14500,H,27-Feb-21
236,163,161,46500,F,20-Sep-20
237,238,29,32500,E,19-Dec-20
238,210,224,21000,F,19-Nov-19
239,371,283,19500,F,12-Jul-20
240,331,248,42000,F,4-Oct-19
241,12,46,36000,I,29-Sep-20
242,25,198,39500,A,23-Jul-20
243,227,263,34500,I,11-Feb-20
244,115,137,21500,F,20-May-20
245,160,105,4500,C,11-Jan-20
246,35,191,35000,C,26-Jan-19
247,3,146,19000,F,4-Mar-20
248,371,256,41000,J,15-Sep-21
249,256,33,2500,J,22-Oct-19
250,33,236,34000,E,26-May-20
251,114,221,12500,C,24-Aug-19
252,107,59,32500,B,13-Jul-19
253,343,115,2500,D,26-Jul-19
254,43,161,1500,E,26-Apr-19
255,156,3,9000,B,9-Mar-19
256,22,255,12000,B,9-Mar-21
257,18,176,8000,A,29-Jul-20
258,220,149,8000,I,16-Apr-19
259,393,276,31500,A,14-Sep-21
260,184,290,16000,C,29-Apr-19
261,151,231,27500,C,5-Oct-19
262,50,239,3500,J,5-Jun-21
263,388,261,49500,D,23-Dec-19
264,54,175,33500,J,1-Feb-20
265,393,189,17500,A,21-Jan-19
266,84,75,28000,B,19-Oct-19
267,243,296,46500,H,18-Jan-19
268,235,61,46500,I,17-Nov-19
269,269,260,17500,B,13-Feb-20
270,36,203,4500,I,27-Jun-20
271,261,230,2000,E,2-Jan-19
272,109,282,12000,B,4-Sep-19
273,42,41,47000,D,7-Apr-19
274,17,89,49000,A,28-May-21
275,102,146,37500,B,11-Aug-21
276,257,60,8500,C,31-May-20
277,338,199,47000,I,27-Jan-19
278,287,106,25500,D,11-Sep-19
279,155,115,40000,D,4-Mar-21
280,328,212,49500,D,15-Nov-20
281,135,199,2500,I,2-Jul-19
282,136,2,35500,G,4-May-21
283,6,158,26000,J,9-Jun-21
284,256,236,30500,J,29-May-21
285,92,27,41500,C,20-Apr-21
286,358,236,19500,G,8-Mar-20
287,137,188,1000,J,16-Aug-20
288,187,11,41500,G,12-Aug-20
289,66,114,23000,F,27-Jan-20
290,290,188,35000,H,24-Aug-19
291,269,144,34500,B,21-Nov-20
292,53,50,36000,J,15-Oct-20
293,146,230,9500,C,30-Aug-19
294,29,264,29000,E,11-Dec-19
295,33,13,31500,B,8-May-19
296,102,265,26000,D,7-Nov-19
297,280,104,6500,J,23-Jun-21
298,279,282,39500,E,12-May-19
299,90,15,6500,A,13-Apr-19
300,378,185,1500,D,31-Jan-21
301,16,241,1500,D,25-Oct-19
302,241,48,14000,C,30-Aug-21
303,112,228,37500,D,29-May-21
304,59,92,30500,G,8-Sep-19
305,38,95,25000,J,20-Feb-20
306,259,97,6000,I,12-Apr-20
307,330,184,36000,J,21-Sep-20
308,383,77,15000,A,16-Jul-20
309,65,7,36000,B,14-Mar-21
310,284,209,35500,H,8-Aug-19
311,329,37,39000,H,30-Mar-21
312,314,112,36500,B,18-Aug-20
313,266,242,44000,H,31-Oct-20
314,87,144,34500,E,12-Jun-21
315,288,102,10000,E,19-Jun-19
316,229,103,31500,H,25-Jul-20
317,225,127,2000,J,29-May-20
318,29,255,24000,G,9-Apr-20
319,252,87,10000,D,18-Jan-21
320,203,118,22500,A,12-Aug-19
321,350,80,35500,I,29-Jul-21
322,335,128,2000,C,4-May-20
323,354,72,13500,H,10-Apr-19
324,389,181,15500,G,22-Feb-20
325,232,129,29500,D,4-Jun-19
326,98,14,20000,B,6-Jun-19
327,326,93,39500,F,21-Aug-20
328,203,143,23500,C,25-Aug-19
329,243,286,17000,F,28-Apr-20
330,294,292,39500,H,21-Aug-19
331,237,76,39000,G,11-Dec-19
332,44,190,26500,G,22-Nov-20
333,8,175,23500,H,4-Sep-21
334,359,162,45500,F,21-Sep-21
335,328,153,38500,G,1-Jan-21
336,334,178,22000,J,16-May-21
337,41,152,500,I,23-Mar-21
338,22,13,47000,J,21-Feb-20
339,382,162,26500,H,25-Feb-19
340,380,197,49000,C,7-Aug-19
341,363,43,21500,B,1-Jul-21
342,375,120,2500,F,7-Apr-19
343,61,174,18500,G,16-Jan-21
344,220,137,30000,F,29-Feb-20
345,24,118,26000,D,1-Feb-19
346,121,178,19500,B,2-Nov-19
347,302,218,23500,D,19-Aug-21
348,394,22,38500,D,29-May-20
349,106,67,8000,A,26-Dec-19
350,176,119,48000,E,23-Feb-21
351,322,151,5500,J,11-Feb-19
352,192,56,15500,H,7-Jul-21
353,297,240,5000,C,1-Sep-20
354,27,41,31500,J,2-Apr-21
355,333,240,14000,H,11-Jun-20
356,343,121,500,J,18-Oct-20
357,14,185,7500,B,16-Sep-20
358,263,230,1500,A,13-May-20
359,380,151,42000,C,14-Jun-20
360,385,220,16500,J,12-May-20
361,81,121,44500,E,5-Nov-19
362,362,67,45500,E,23-Dec-19
363,339,50,30500,C,30-Mar-19
364,265,270,40000,I,16-Mar-19
365,61,48,28000,H,8-Jun-20
366,311,245,20000,G,7-Jun-20
367,66,66,17000,C,4-Apr-19
368,276,130,19500,G,22-Sep-19
369,158,135,39000,C,23-Jul-19
370,22,119,3000,H,26-Feb-19
371,179,126,13500,J,9-Jul-20
372,17,106,24000,F,6-Jul-19
373,234,82,41000,I,2-Sep-20
374,345,14,23500,A,27-Aug-19
375,257,58,3000,D,14-Jan-20
376,356,188,28500,B,4-Jun-21
377,8,142,37000,C,17-Aug-19
378,272,234,26500,J,13-Oct-20
379,148,105,25000,J,19-Apr-21
380,327,72,40500,F,7-Jan-19
381,338,166,5500,A,15-Mar-20
382,283,103,40000,I,2-Aug-21
383,3,214,28000,D,22-May-21
384,141,51,42500,A,26-Mar-21
385,307,18,25000,H,9-Apr-21
386,203,300,29000,C,28-May-20
387,352,72,2000,D,23-Nov-20
388,247,63,43000,D,31-Aug-21
389,339,92,14500,E,4-Aug-19
390,85,82,1500,G,19-Nov-19
391,51,262,36500,J,18-Jul-21
392,87,218,17000,I,4-Apr-20
393,310,256,39500,H,16-Feb-20
394,43,208,37500,A,13-Jul-21
395,143,179,19500,F,18-Mar-20
396,302,184,39000,I,26-Jun-20
397,356,132,27000,J,23-Sep-21
398,355,275,17500,C,17-May-21
399,349,291,21000,I,31-Mar-21
400,104,152,32500,I,15-Jun-20
401,46,54,13500,F,27-Jul-21
402,390,267,4500,I,9-Aug-20
403,89,216,11500,D,8-Mar-20
404,130,22,50000,F,14-Mar-21
405,387,177,44000,J,24-Jun-19
406,81,244,16500,H,31-May-19
407,333,23,37500,C,24-Oct-19
408,307,252,14000,C,21-Apr-21
409,72,32,37500,H,8-Dec-20
410,2,122,30500,H,9-Aug-21
411,22,129,500,C,22-Jan-21
412,96,40,4000,B,25-Mar-19
413,202,169,21500,A,16-Apr-21
414,308,140,37000,H,22-Jul-20
415,294,143,24000,I,31-Dec-19
416,355,139,40500,D,20-Dec-20
417,197,285,10000,D,25-Jun-20
418,253,84,18500,C,25-Oct-20
419,34,246,5500,G,16-Jul-21
420,381,152,17500,C,16-May-21
421,125,117,21000,C,3-Jun-21
422,303,93,48500,G,1-Jul-21
423,207,262,27000,G,4-Sep-19
424,227,69,2500,D,2-Jul-20
425,159,36,26500,I,6-Mar-21
426,116,251,15500,C,1-Jan-21
427,54,272,48500,H,18-Jul-21
428,115,289,35500,A,7-Mar-19
429,78,100,26500,D,29-Aug-20
430,347,247,33500,G,18-Oct-20
431,349,91,31000,G,15-Jan-19
432,6,292,28500,C,29-Jun-19
433,351,250,20500,D,6-Oct-19
434,73,96,30000,E,17-Mar-20
435,89,53,10000,H,28-Nov-20
436,257,184,18500,D,31-Oct-20
437,383,16,20500,A,10-Nov-20
438,224,77,29500,A,11-Jul-20
439,37,149,1500,J,18-Feb-19
440,15,208,49500,G,11-Aug-20
441,361,224,43500,E,25-Jun-21
442,30,168,7000,E,15-Jul-19
443,396,33,16000,H,25-May-21
444,101,155,30500,J,25-Nov-19
445,181,179,41000,D,1-Sep-19
446,367,219,48500,J,27-Apr-20
447,269,286,18500,B,17-Dec-20
448,164,124,24500,G,20-Dec-20
449,385,100,500,H,4-May-19
450,136,202,25500,A,19-Jun-19
451,19,56,34500,E,19-Feb-19
452,356,253,18500,B,22-Jun-20
453,157,219,46500,H,22-Mar-20
454,132,194,32500,I,10-Nov-20
455,220,268,49000,G,10-Mar-20
456,177,159,8000,I,7-Apr-20
457,394,220,38000,F,8-Jan-21
458,337,257,41000,D,19-Nov-19
459,85,135,26000,B,22-Jul-19
460,304,193,17500,C,16-Oct-19
461,362,217,17000,J,18-Nov-19
462,177,170,3000,A,13-Dec-20
463,300,43,33500,F,23-May-21
464,209,182,15000,A,10-May-21
465,312,18,22500,E,22-Oct-20
466,292,169,7500,B,19-Sep-19
467,151,87,36000,D,6-Oct-19
468,366,6,27500,E,25-Jan-20
469,351,1,12000,A,1-Oct-20
470,2,202,44000,J,9-Jul-20
471,105,212,36500,E,13-May-19
472,9,292,3000,A,22-Oct-20
473,89,103,26500,B,7-Jun-19
474,125,218,23000,B,24-Mar-21
475,258,287,30000,H,12-Jul-20
476,396,127,32500,D,5-Oct-20
477,380,40,4500,I,15-Jan-21
478,143,59,18000,I,29-Jul-19
479,199,126,21500,E,6-Jan-20
480,38,15,27500,J,7-Jun-19
481,154,175,37500,D,4-Mar-20
482,307,114,31500,A,13-Aug-19
483,259,51,8000,H,31-Aug-20
484,299,215,29000,G,20-Dec-19
485,360,168,36500,J,14-Mar-19
486,180,291,2500,E,8-Oct-20
487,285,117,43500,I,10-Feb-20
488,200,277,11000,I,30-Nov-19
489,106,220,30000,E,10-Dec-20
490,4,165,4000,D,30-Apr-21
491,39,277,29000,I,2-Aug-21
492,45,218,30000,A,26-Mar-21
493,170,89,27000,J,25-Jun-21
494,82,161,27000,F,12-Apr-21
495,146,200,11500,D,24-May-21
496,338,191,32500,F,13-Jan-19
497,150,62,41000,C,26-Aug-20
498,277,49,11500,H,10-Sep-20
499,243,33,30000,C,22-May-19
500,326,138,20500,J,22-Apr-19
501,181,216,13000,J,3-Oct-19
502,399,111,14000,C,27-Nov-19
503,309,145,1500,H,5-Aug-21
504,315,148,18500,C,1-Aug-20
505,250,156,32000,A,16-Apr-20
506,237,170,7500,D,10-Jul-21
507,4,66,31000,I,15-Nov-20
508,196,132,44000,D,8-Sep-21
509,311,106,29000,F,5-Apr-20
510,368,95,15000,B,31-Mar-19
511,306,40,11000,G,15-May-20
512,287,48,22000,A,12-Jun-19
513,157,178,49500,C,30-Sep-20
514,291,160,43000,A,8-Oct-20
515,298,21,1500,J,18-Mar-20
516,80,157,46000,B,9-Mar-20
517,296,220,34000,A,12-Sep-21
518,214,15,7500,I,17-Feb-21
519,179,27,17000,B,25-Sep-20
520,30,127,13000,G,8-Aug-19
521,149,76,7500,B,10-Jun-19
522,169,192,23000,A,18-Apr-20
523,12,227,9500,J,21-Aug-21
524,387,285,9500,B,30-Aug-20
525,376,55,28000,B,20-Jan-19
526,156,243,18000,G,5-Jul-21
527,63,137,43500,H,9-May-21
528,222,256,13500,H,3-Jun-21
529,221,295,13000,I,8-Jun-19
530,126,100,8500,A,5-Sep-20
531,279,189,29500,G,17-Mar-20
532,362,259,41500,H,13-Mar-20
533,307,94,49500,D,24-Jan-20
534,95,30,1000,J,14-Oct-20
535,341,101,40000,F,8-Jul-20
536,294,271,46000,H,2-Jan-19
537,286,158,30000,I,2-Feb-21
538,394,42,37500,D,7-Oct-19
539,58,167,45500,D,6-Apr-19
540,312,150,41000,I,30-Oct-20
541,134,167,45000,I,18-Apr-19
542,112,177,40500,C,19-Dec-20
543,80,109,10500,C,31-May-20
544,317,239,46500,H,14-Jun-20
545,118,57,28000,D,23-Jul-19
546,55,187,43000,D,17-Sep-21
547,180,169,16500,C,2-Apr-20
548,393,14,29500,B,21-Jun-20
549,69,284,6500,F,18-Sep-19
550,248,47,23000,B,16-May-19
551,128,122,2000,B,22-Feb-19
552,305,207,32500,G,22-Jan-20
553,133,175,11000,C,5-Mar-19
554,374,80,39500,J,29-Mar-20
555,170,203,29500,G,20-Oct-19
556,337,139,500,I,22-Jul-21
557,150,259,37000,F,16-Mar-21
558,220,203,28500,C,7-Feb-21
559,126,2,13000,B,21-Jul-21
560,11,223,48000,C,6-May-20
561,120,299,4500,H,22-Aug-19
562,120,147,33500,E,28-May-19
563,166,33,3500,H,21-Mar-19
564,130,78,28500,G,26-Mar-21
565,374,217,8000,F,7-Mar-20
566,340,60,37000,B,9-May-21
567,11,90,50000,E,3-Mar-19
568,16,246,36000,I,30-Dec-20
569,58,73,4000,J,28-Jan-19
570,93,261,46500,G,31-Mar-21
571,356,141,17000,F,16-Jun-19
572,221,105,46000,A,12-May-21
573,214,186,38000,F,16-Aug-21
574,39,156,24000,J,10-Jan-21
575,62,214,18000,E,26-Jun-21
576,6,188,8000,J,18-Jan-21
577,207,51,33500,B,30-Mar-20
578,388,148,42000,E,26-Sep-19
579,147,216,42000,C,12-Sep-20
580,235,256,5500,A,28-Feb-19
581,249,291,3500,D,12-Aug-21
582,327,164,34000,I,4-Jun-19
583,247,85,14500,I,21-Sep-21
584,49,33,38000,A,12-Nov-19
585,3,259,13500,E,11-May-21
586,276,139,49000,D,25-Jan-21
587,115,70,22000,D,4-Sep-19
588,348,172,22000,H,5-Feb-19
589,65,176,3500,C,15-May-19
590,189,69,26000,D,20-Jul-21
591,61,246,37500,J,23-Jan-19
592,369,146,26000,D,6-Mar-21
593,375,162,50000,J,14-May-21
594,4,51,28000,B,19-Oct-19
595,237,152,6000,G,20-Apr-21
596,394,282,38500,E,19-May-19
597,85,260,4000,D,9-Jul-21
598,236,288,7500,H,23-Nov-20
599,124,123,45000,H,9-Nov-19
600,75,181,40000,E,12-Sep-20
601,304,198,27500,E,10-Jan-19
602,269,162,44500,A,6-Feb-20
603,352,226,50000,A,26-Jun-19
604,346,121,26500,D,29-Jul-21
605,248,156,1500,E,29-Nov-19
606,242,299,44000,B,17-Feb-19
607,178,262,28500,C,14-Jul-21
608,86,254,31000,J,29-Nov-19
609,64,155,2500,E,16-Feb-21
610,176,292,12000,B,17-Nov-20
611,23,132,42000,B,23-Mar-21
612,344,84,10000,F,1-Apr-20
613,16,245,19000,F,15-Jun-19
614,179,159,3000,A,20-Mar-19
615,53,268,24500,A,24-Jan-21
616,336,170,47500,A,14-Aug-20
617,309,161,14000,I,10-Feb-19
618,381,93,31500,F,2-May-20
619,40,2,47000,F,21-Feb-20
620,353,109,5000,B,1-May-19
621,40,55,38000,J,23-Apr-19
622,13,5,34500,J,17-Sep-20
623,184,37,30000,D,3-Jan-21
624,166,10,500,G,30-Aug-21
625,295,62,16000,F,26-Sep-20
626,178,206,44500,J,6-Feb-21
627,143,54,20000,H,31-May-19
628,134,154,40500,B,5-Jul-19
629,296,220,4000,C,22-Apr-21
630,87,279,40000,D,25-Jan-21
631,151,141,24500,G,24-Jul-20
632,147,29,23500,D,19-Feb-21
633,397,168,25000,G,27-Jul-19
634,327,92,41500,E,11-Oct-19
635,234,156,500,A,26-Jun-20
636,243,35,42500,C,25-Aug-21
637,165,31,46000,D,27-Sep-20
638,62,215,19500,H,9-Aug-21
639,379,33,10500,G,23-Feb-19
640,394,164,37000,B,2-Jun-21
641,96,128,1000,J,26-May-19
642,102,50,45000,F,11-Aug-20
643,271,38,3000,H,10-Mar-20
644,16,89,19000,C,18-Oct-20
645,207,272,20000,J,16-Jun-21
646,88,141,24500,H,25-Feb-19
647,258,154,3000,G,22-Feb-21
648,222,217,33500,D,10-Aug-20
649,100,139,28000,G,15-Apr-21
650,263,298,15500,E,22-Aug-21
651,13,276,17000,C,7-May-19
652,239,282,24000,A,10-Sep-19
653,161,228,12000,E,1-May-21
654,336,50,4000,E,13-Dec-19
655,266,177,35000,B,7-Jun-21
656,125,149,46000,A,8-Aug-19
657,148,94,18000,B,19-Feb-20
658,128,178,25500,I,12-May-19
659,111,244,27500,G,15-Aug-19
660,29,18,36500,B,8-Oct-19
661,262,195,34000,B,14-Jul-19
662,185,101,40500,D,14-Sep-20
663,90,196,29000,F,26-Sep-21
664,13,69,38000,F,18-Nov-19
665,247,74,15000,B,10-Jun-19
666,193,225,28500,G,13-Nov-19
667,146,285,46500,F,14-Mar-21
668,80,3,45000,G,15-Nov-19
669,322,21,16000,D,21-Jun-19
670,9,235,5000,I,9-Sep-19
671,94,296,28000,F,26-Dec-20
672,333,1,47500,E,3-Feb-19
673,41,146,20500,F,11-Dec-20
674,346,43,46000,G,3-Aug-21
675,26,186,35000,D,18-Jun-21
676,70,23,11000,F,26-Aug-19
677,12,299,14500,C,7-Feb-19
678,142,199,27000,J,22-Apr-20
679,74,34,29000,D,10-Sep-19
680,103,266,2000,H,4-Apr-20
681,117,49,13500,F,28-Jan-21
682,19,247,32500,H,19-Oct-19
683,78,71,9000,I,12-Apr-19
684,306,5,9000,D,15-Sep-19
685,367,250,44000,B,31-Mar-19
686,176,90,42000,A,28-Apr-20
687,388,212,39000,H,28-May-21
688,270,131,39500,E,15-Jul-20
689,110,122,12000,J,15-Mar-21
690,124,251,7000,F,3-Feb-20
691,56,90,15000,G,20-Mar-20
692,32,50,29500,E,12-Jun-20
693,261,92,48500,G,2-Oct-19
694,314,2,35000,E,8-May-20
695,373,292,34500,G,26-Mar-20
696,259,174,30000,D,23-May-19
697,167,237,14000,D,14-Nov-20
698,101,193,23000,E,15-Apr-20
699,28,271,49000,A,1-Jun-21
700,240,130,24000,B,22-Oct-19
701,112,66,13500,B,13-May-20
702,293,24,40000,E,24-Feb-21
703,380,273,45000,J,4-Sep-21
704,85,54,39500,G,14-Sep-20
705,385,258,42500,H,16-Feb-20
706,217,168,18500,D,25-Feb-19
707,316,77,12000,C,12-May-20
708,173,77,32000,D,7-Jan-21
709,359,41,43000,C,22-Jan-20
710,34,44,43000,D,6-Dec-19
711,225,135,15000,I,17-Jul-21
712,280,44,15500,H,1-Jan-21
713,279,266,22500,A,8-Jan-19
714,184,120,16000,I,7-Mar-20
715,15,274,2000,J,7-Mar-21
716,213,166,37500,F,29-Jan-20
717,14,57,500,J,12-Nov-19
718,193,78,33000,C,12-Sep-21
719,400,26,36500,C,2-May-19
720,139,174,40000,I,16-Jun-21
721,331,14,49000,J,8-Mar-20
722,173,8,28000,F,27-Apr-21
723,252,247,17500,I,14-Sep-20
724,117,98,9000,D,27-Feb-19
725,39,99,4000,H,14-Jul-21
726,185,20,21000,G,17-Oct-19
727,175,96,14500,J,26-Mar-21
728,166,107,6500,A,1-Feb-20
729,343,128,5000,G,12-Oct-20
730,67,114,3000,J,15-Jun-19
731,278,38,30000,G,20-Jan-21
732,366,283,41500,H,12-Jul-21
733,234,35,21000,G,27-Sep-20
734,94,286,21500,J,2-Sep-20
735,57,2,41500,G,26-Dec-20
736,240,228,16500,C,11-Apr-19
737,144,45,10000,J,28-Nov-19
738,225,188,2500,C,17-Dec-19
739,59,156,49500,I,31-May-19
740,75,90,10000,B,30-Aug-19
741,180,163,10500,D,28-May-19
